-----------
Timer report 0 (861 timers)
--------------
[0] root 12.36497 100.0% 1 57056588    4.6 MFlops 
   [1] LevelGeometryService::LevelGeometryService 6.91072 55.9% 1 0    0.0 MFlops 
      [2] LevelGeometryService::defineFinestLevel 6.91052 55.9% 1 0    0.0 MFlops 
         [3] LevelGeometryService::fillGraph 6.85144 55.4% 16 0    0.0 MFlops 
            [4] boxiterator loop 6.27048 50.7% 16 0    0.0 MFlops 
               [5] ifdata constructor 2 5.55589 44.9% 23104 0    0.0 MFlops 
                  [6] ifdata::setNormalDerivatives 5.30803 42.9% 23104 0    0.0 MFlops 
                  [55] ifdata::findIntersectionPoints 0.17865  1.4% 23104 0    0.0 MFlops 
                     [90] ifdata::makeedgekey 0.09472  0.8% 184832 0    0.0 MFlops 
                        [389] ifdata::rootfinder 0.00301  0.0% 2416 0    0.0 MFlops 
                           [418] ifdata::brentrootfinder 0.00199  0.0% 2416 0    0.0 MFlops 
                     [188] ifdata::isConnected 0.02352  0.2% 369664 0    0.0 MFlops 
                  [132] ifdata::makeCornerSigns 0.05210  0.4% 23104 0    0.0 MFlops 
                  [444] ifdata::defineLocalCoords 0.00153  0.0% 23104 0    0.0 MFlops 
               [224] CoordinateSystem::ConstructorReduceInfo 0.01717  0.1% 277248 0    0.0 MFlops 
            [22] fillGraph::endOfirregularCellLoop 0.53111  4.3% 604 0    0.0 MFlops 
               [23] LevelGeometryService::ComputeVofInternals 0.52721  4.3% 604 0    0.0 MFlops 
                  [39] computemoments 0.29478  2.4% 604 0    0.0 MFlops 
                     [50] computemomentsRecursively 0.19060  1.5% 604 0    0.0 MFlops 
                        [67] computemomentsRecursively 0.14701  1.2% 604 0    0.0 MFlops 
                           [79] computemomentsRecursively 0.12057  1.0% 604 0    0.0 MFlops 
                              [92] computemomentsRecursively 0.08880  0.7% 604 0    0.0 MFlops 
                                 [129] computemomentsRecursively 0.05442  0.4% 604 0    0.0 MFlops 
                                    [172] computeRHS 0.02773  0.2% 604 0    0.0 MFlops 
                                    [200] computemomentsRecursively 0.02192  0.2% 604 0    0.0 MFlops 
                                       [209] computeRHS 0.01975  0.2% 604 0    0.0 MFlops 
                                 [176] computeRHS 0.02682  0.2% 604 0    0.0 MFlops 
                              [203] computeRHS 0.02116  0.2% 604 0    0.0 MFlops 
                           [247] computeRHS 0.01214  0.1% 604 0    0.0 MFlops 
                        [348] computeRHS 0.00473  0.0% 604 0    0.0 MFlops 
                  [65] ifdata constructor 2 0.15287  1.2% 604 0    0.0 MFlops 
                     [70] ifdata::setNormalDerivatives 0.14168  1.1% 604 0    0.0 MFlops 
                     [285] ifdata::findIntersectionPoints 0.00882  0.1% 604 0    0.0 MFlops 
                        [315] ifdata::makeedgekey 0.00648  0.1% 4832 0    0.0 MFlops 
                           [384] ifdata::rootfinder 0.00312  0.0% 2416 0    0.0 MFlops 
                              [417] ifdata::brentrootfinder 0.00205  0.0% 2416 0    0.0 MFlops 
                        [522] ifdata::isConnected 0.00064  0.0% 9664 0    0.0 MFlops 
                     [435] ifdata::makeCornerSigns 0.00166  0.0% 604 0    0.0 MFlops 
                     [605] ifdata::defineLocalCoords 0.00024  0.0% 604 0    0.0 MFlops 
                  [493] CoordinateSystem::ConstructorReduceInfo 0.00088  0.0% 14496 0    0.0 MFlops 
            [148] LevelGeometryService::fixregularnextToCovered 0.04459  0.4% 6604 0    0.0 MFlops 
            [714] HostBoxData::define(Box) (memory allocation) 0.00004  0.0% 16 0    0.0 MFlops 
         [169] exchange 0.02784  0.2% 2 0    0.0 MFlops 
            [170] makeItSoLocalCopy 0.02784  0.2% 2 0    0.0 MFlops 
               [171] local copying 0.02784  0.2% 2 0    0.0 MFlops 
                  [235] HostBoxData::copy 0.01351  0.1% 72 0    0.0 MFlops 
            [837] makeItSoBegin 0.00000  0.0% 2 0    0.0 MFlops 
            [840] makeItSoEnd 0.00000  0.0% 2 0    0.0 MFlops 
         [260] EBGraph::buildGraph 0.01055  0.1% 16 0    0.0 MFlops 
            [631] HostBoxData::define(Box) (memory allocation) 0.00018  0.0% 16 0    0.0 MFlops 
         [331] LevelGeometryService::exchange 0.00577  0.0% 1 0    0.0 MFlops 
            [332] exchange 0.00576  0.0% 4 0    0.0 MFlops 
               [333] makeItSoLocalCopy 0.00576  0.0% 4 0    0.0 MFlops 
                  [334] local copying 0.00576  0.0% 4 0    0.0 MFlops 
                     [336] HostIrregData::copy 0.00562  0.0% 400 0    0.0 MFlops 
               [832] makeItSoEnd 0.00000  0.0% 4 0    0.0 MFlops 
               [838] makeItSoBegin 0.00000  0.0% 4 0    0.0 MFlops 
         [335] EBGraph::getIrregFaces 0.00565  0.0% 32 0    0.0 MFlops 
            [517] EBGraph::getIrregCells 0.00068  0.0% 32 0    0.0 MFlops 
         [487] EBGraph::getIrregVoFs 0.00095  0.0% 16 0    0.0 MFlops 
            [570] EBGraph::getIrregCells 0.00035  0.0% 16 0    0.0 MFlops 
         [573] EBGraph::getIrregCells 0.00035  0.0% 16 0    0.0 MFlops 
         [613] ~LayoutData 0.00022  0.0% 1 0    0.0 MFlops 
      [618] LevelGeometryService::defineData 0.00021  0.0% 1 0    0.0 MFlops 
         [672] Copier::exchangeDefine 0.00010  0.0% 1 0    0.0 MFlops 
   [7] EBMultigrid::solve 4.60653 37.3% 1 57056588   12.4 MFlops 
      [8] sgmg::vcycle 4.24262 34.3% 7 54501356   12.8 MFlops 
         [9] sgmglevel::vcycle 4.24261 34.3% 7 54501356   12.8 MFlops 
            [10] EBMultigridLevel::relax 2.26222 18.3% 14 33741120   14.9 MFlops 
               [12] EBMultigridLevel::residual 1.68507 13.6% 112 33741120   20.0 MFlops 
                  [13] EBMultigrid::applyOp 1.39787 11.3% 112 33741120   24.1 MFlops 
                     [18] EBLevelBoxData::exchange 0.58072  4.7% 56 0    0.0 MFlops 
                        [24] exchange 0.52584  4.3% 56 0    0.0 MFlops 
