-----------
Timer report 0 (3550 timers)
--------------
[0] root 2443.78119 100.0% 1 311486647722  127.5 MFlops 
   [1] EBINS::run 2035.71966 83.3% 1 311479182762  153.0 MFlops 
      [2] EBINS::advanceVelocityAndPressure 1944.88850 79.6% 10 306559439232  157.6 MFlops 
         [3] EBINS::advanceVelocityNavierStokes 896.60751 36.7% 10 230354807712  256.9 MFlops 
            [4] EBMultigrid::solve 896.03597 36.7% 30 230315486112  257.0 MFlops 
               [5] sgmg::vcycle 813.92177 33.3% 114 216226096416  265.7 MFlops 
                  [6] sgmglevel::vcycle 813.92160 33.3% 114 216226096416  265.7 MFlops 
                     [7] EBPoissonOp::relax 586.75944 24.0% 228 178068466944  303.5 MFlops 
                        [15] EBPoissonOp::residual 439.74500 18.0% 1824 177387662592  403.4 MFlops 
                           [21] EBMultigrid::applyOp 307.46764 12.6% 1824 176706858240  574.7 MFlops 
                              [23] EBStencil::apply 287.47598 11.8% 1824 176706858240  614.7 MFlops 
                                 [24] EBStencil::applyITZ 287.47463 11.8% 1824 176706858240  614.7 MFlops 
                                    [27] AggSten::apply 229.90763  9.4% 1824 170186204160  740.2 MFlops 
                                    [63] Stencil::apply 57.56408  2.4% 1824 6520654080  113.3 MFlops 
                                       [64] Stencil::protoApply 57.56355  2.4% 1824 6520654080  113.3 MFlops 
                                          [65] Stencil::hostApply 57.56234  2.4% 1824 0    0.0 MFlops 
                              [132] ebforall_i 19.87785  0.8% 1824 0    0.0 MFlops 
                                 [133] protoForall_i 19.87368  0.8% 1824 0    0.0 MFlops 
                                    [134] BoxData::makevars_i 19.86627  0.8% 1824 0    0.0 MFlops 
                                       [135] indexer_i 19.86382  0.8% 1824 0    0.0 MFlops 
                              [1186] EBLevelBoxData::exchange 0.08006  0.0% 1824 0    0.0 MFlops 
                                 [1187] EBLevelBoxData::exchangeCPUOnly 0.07900  0.0% 1824 0    0.0 MFlops 
                                    [1328] DistributedData constructor 0.03919  0.0% 1824 0    0.0 MFlops 
                                    [1521] DistributedData::exchange 0.01779  0.0% 1824 0    0.0 MFlops 
                                       [1700] BoxPattern::exchange constructor 0.00820  0.0% 1824 0    0.0 MFlops 
                                       [1972] DistributedData::communicate 0.00218  0.0% 1824 0    0.0 MFlops 
                                          [2075] DistributedData::doLocalCopies 0.00126  0.0% 1824 0    0.0 MFlops 
                                             [2262] DistributedData::doLocalCopiesWithCopy 0.00056  0.0% 1824 0    0.0 MFlops 
                                       [2681] CommunicationMetaData constructor 0.00008  0.0% 1824 0    0.0 MFlops 
                           [34] BoxData::setVal 120.50437  4.9% 1824 680804352    5.6 MFlops 
                              [35] BoxData::operator 120.50342  4.9% 1824 680804352    5.6 MFlops 
                                 [2093] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00111  0.0% 1824 0    0.0 MFlops 
                           [181] ebforall 11.75784  0.5% 1824 0    0.0 MFlops 
                              [182] forallInPlaceBase 11.75540  0.5% 1824 0    0.0 MFlops 
                                 [183] protoForall 11.75391  0.5% 1824 0    0.0 MFlops 
                                    [184] BoxData::makevars 11.75076  0.5% 1824 0    0.0 MFlops 
                                       [185] indexer 11.75018  0.5% 1824 0    0.0 MFlops 
                        [32] BoxData::setVal 120.52529  4.9% 1824 680804352    5.6 MFlops 
                           [33] BoxData::operator 120.52425  4.9% 1824 680804352    5.6 MFlops 
                              [1895] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00300  0.0% 1824 0    0.0 MFlops 
                        [111] ebforall_i 26.46056  1.1% 1824 0    0.0 MFlops 
                           [112] protoForall_i 26.45732  1.1% 1824 0    0.0 MFlops 
                              [113] BoxData::makevars_i 26.45196  1.1% 1824 0    0.0 MFlops 
                                 [114] indexer_i 26.45110  1.1% 1824 0    0.0 MFlops 
                     [31] sgmglevel::vcycle 132.57265  5.4% 114 25568624976  192.9 MFlops 
                        [36] EBPoissonOp::relax 89.22137  3.7% 228 21144698112  237.0 MFlops 
                           [57] EBPoissonOp::residual 64.44589  2.6% 1824 21027962112  326.3 MFlops 
                              [84] EBMultigrid::applyOp 42.03839  1.7% 1824 20911226112  497.4 MFlops 
                                 [92] EBStencil::apply 39.01408  1.6% 1824 20911226112  536.0 MFlops 
                                    [93] EBStencil::applyITZ 39.01369  1.6% 1824 20911226112  536.0 MFlops 
                                       [105] AggSten::apply 28.36742  1.2% 1824 20172506112  711.1 MFlops 
                                       [196] Stencil::apply 10.64502  0.4% 1824 738720000   69.4 MFlops 
                                          [197] Stencil::protoApply 10.64473  0.4% 1824 738720000   69.4 MFlops 
                                             [198] Stencil::hostApply 10.64429  0.4% 1824 0    0.0 MFlops 
                                 [377] ebforall_i 2.99197  0.1% 1824 0    0.0 MFlops 
                                    [378] protoForall_i 2.99085  0.1% 1824 0    0.0 MFlops 
                                       [379] BoxData::makevars_i 2.98740  0.1% 1824 0    0.0 MFlops 
                                          [380] indexer_i 2.98657  0.1% 1824 0    0.0 MFlops 
