-----------
Timer report 0 (3408 timers)
--------------
[0] root 7.12166 100.0% 1 18536020952 2602.8 MFlops 
   [1] EBINS::define 4.22517 59.3% 1 128000    0.0 MFlops 
      [4] EBPoissonOp::define 2.24569 31.5% 2 0    0.0 MFlops 
         [5] get2ndOrderDivFStencil 1.78254 25.0% 131072 0    0.0 MFlops 
            [50] EBGraph::isConnected 0.17267  2.4% 2906064 0    0.0 MFlops 
         [35] EBPoissonOp::defineCoarser 0.27647  3.9% 2 0    0.0 MFlops 
            [36] EBPoissonOp::constructor 0.27645  3.9% 2 0    0.0 MFlops 
               [63] get2ndOrderDivFStencil 0.13629  1.9% 8192 0    0.0 MFlops 
                  [294] EBGraph::isConnected 0.00996  0.1% 167400 0    0.0 MFlops 
               [164] AggSten.constructor 0.03475  0.5% 20 0    0.0 MFlops 
                  [2700] EBGraph::getIrregVoFs 0.00001  0.0% 40 0    0.0 MFlops 
                     [3029] EBGraph::getIrregCells 0.00000  0.0% 40 0    0.0 MFlops 
               [173] EBPoissonOp::defineCoarser 0.03296  0.5% 2 0    0.0 MFlops 
                  [174] EBPoissonOp::constructor 0.03294  0.5% 2 0    0.0 MFlops 
                     [227] get2ndOrderDivFStencil 0.01382  0.2% 1024 0    0.0 MFlops 
                        [988] EBGraph::isConnected 0.00105  0.0% 17640 0    0.0 MFlops 
                     [394] EBPoissonOp::defineCoarser 0.00523  0.1% 2 0    0.0 MFlops 
                        [395] EBPoissonOp::constructor 0.00521  0.1% 2 0    0.0 MFlops 
                           [824] EBPoissonOp::defineCoarser 0.00135  0.0% 2 0    0.0 MFlops 
                              [840] EBPoissonOp::constructor 0.00133  0.0% 2 0    0.0 MFlops 
                                 [1015] AggSten.constructor 0.00092  0.0% 20 0    0.0 MFlops 
                                    [2778] EBGraph::getIrregVoFs 0.00000  0.0% 40 0    0.0 MFlops 
                                       [3033] EBGraph::getIrregCells 0.00000  0.0% 40 0    0.0 MFlops 
                                 [1940] get2ndOrderDivFStencil 0.00007  0.0% 16 0    0.0 MFlops 
                                    [2718] EBGraph::isConnected 0.00001  0.0% 72 0    0.0 MFlops 
                                 [2019] EBPoissonOp::fillkappa 0.00006  0.0% 2 0    0.0 MFlops 
                                    [2153] EBLevelBoxData::exchange 0.00004  0.0% 2 0    0.0 MFlops 
                                       [2167] EBLevelBoxData::exchangeWithGPU 0.00004  0.0% 2 0    0.0 MFlops 
                                          [2345] EBLevelBoxData::copyToHost 0.00002  0.0% 2 0    0.0 MFlops 
                                          [2644] EBLevelBoxData::copyToDevice 0.00001  0.0% 2 0    0.0 MFlops 
                                          [2871] DistributedData constructor 0.00000  0.0% 2 0    0.0 MFlops 
                                             [3220] HostBoxData::define(Box) (memory allocation) 0.00000  0.0% 2 0    0.0 MFlops 
                                             [3272] EBGraph::getIrregVoFs 0.00000  0.0% 2 0    0.0 MFlops 
                                                [3375] EBGraph::getIrregCells 0.00000  0.0% 2 0    0.0 MFlops 
                                          [2928] DistributedData::exchange 0.00000  0.0% 2 0    0.0 MFlops 
                                             [3104] BoxPattern::exchange constructor 0.00000  0.0% 2 0    0.0 MFlops 
                                             [3191] DistributedData::communicate 0.00000  0.0% 2 0    0.0 MFlops 
                                                [3271] DistributedData::doLocalCopies 0.00000  0.0% 2 0    0.0 MFlops 
                                                   [3372] DistributedData::doLocalCopiesWithCopy 0.00000  0.0% 2 0    0.0 MFlops 
                                             [3378] CommunicationMetaData constructor 0.00000  0.0% 2 0    0.0 MFlops 
                                    [2549] ebforall 0.00001  0.0% 2 0    0.0 MFlops 
                                       [2554] forallInPlaceBase 0.00001  0.0% 2 0    0.0 MFlops 
                                          [2562] protoForall 0.00001  0.0% 2 0    0.0 MFlops 
                                             [2573] BoxData::makevars 0.00001  0.0% 2 0    0.0 MFlops 
                                                [2581] indexer 0.00001  0.0% 2 0    0.0 MFlops 
                                    [2961] HostBoxData::define(Box) (memory allocation) 0.00000  0.0% 2 0    0.0 MFlops 
                                    [3159] EBGraph::getIrregVoFs 0.00000  0.0% 2 0    0.0 MFlops 
                                       [3333] EBGraph::getIrregCells 0.00000  0.0% 2 0    0.0 MFlops 
                                 [2179] DistributedData constructor 0.00004  0.0% 10 0    0.0 MFlops 
                                    [3017] EBGraph::getIrregVoFs 0.00000  0.0% 10 0    0.0 MFlops 
                                       [3253] EBGraph::getIrregCells 0.00000  0.0% 10 0    0.0 MFlops 
                                 [2229] HostBoxData::setval 0.00003  0.0% 2 0    0.0 MFlops 
                                 [3112] EBGraph::getIrregVoFs 0.00000  0.0% 4 0    0.0 MFlops 
                                    [3321] EBGraph::getIrregCells 0.00000  0.0% 4 0    0.0 MFlops 
                                 [3151] HostBoxData::define(Box) (memory allocation) 0.00000  0.0% 2 0    0.0 MFlops 
                                 [3279] EBPoissonOp::defineCoarser 0.00000  0.0% 2 0    0.0 MFlops 
                              [2557] DistributedData constructor 0.00001  0.0% 4 0    0.0 MFlops 
                                 [3156] EBGraph::getIrregVoFs 0.00000  0.0% 4 0    0.0 MFlops 
                                    [3328] EBGraph::getIrregCells 0.00000  0.0% 4 0    0.0 MFlops 
                           [898] get2ndOrderDivFStencil 0.00124  0.0% 128 0    0.0 MFlops 
                              [1813] EBGraph::isConnected 0.00010  0.0% 1512 0    0.0 MFlops 
                           [918] AggSten.constructor 0.00120  0.0% 20 0    0.0 MFlops 
                              [2755] EBGraph::getIrregVoFs 0.00000  0.0% 40 0    0.0 MFlops 
                                 [3026] EBGraph::getIrregCells 0.00000  0.0% 40 0    0.0 MFlops 
                           [1955] EBPoissonOp::fillkappa 0.00007  0.0% 2 0    0.0 MFlops 
                              [2108] EBLevelBoxData::exchange 0.00004  0.0% 2 0    0.0 MFlops 
                                 [2111] EBLevelBoxData::exchangeWithGPU 0.00004  0.0% 2 0    0.0 MFlops 
