-----------
Timer report 0 (4883 timers)
--------------
[0] root 4678.00485 100.0% 1 206066009118   44.0 MFlops 
   [1] EBINS::run 4659.95578 99.6% 1 206064626718   44.2 MFlops 
      [2] EBINS::advanceVelocityAndPressure 4407.22171 94.2% 100 200567145000   45.5 MFlops 
         [3] EBINS::advanceVelocityNavierStokes 2795.12093 59.8% 100 163931974800   58.6 MFlops 
            [4] EBMultigrid::solve 2794.75108 59.7% 200 163915590800   58.7 MFlops 
               [5] sgmg::vcycle 2594.15860 55.5% 5400 156789745200   60.4 MFlops 
                  [6] sgmglevel::vcycle 2594.15604 55.5% 5400 156789745200   60.4 MFlops 
                     [7] EBPoissonOp::relax 1281.32781 27.4% 10800 107887766400   84.2 MFlops 
                        [9] EBPoissonOp::residual 846.72165 18.1% 86400 105675926400  124.8 MFlops 
                           [23] EBMultigrid::applyOp 483.25331 10.3% 86400 103464086400  214.1 MFlops 
                              [35] EBLevelBoxData::exchange 237.29004  5.1% 86400 0    0.0 MFlops 
                                 [36] EBLevelBoxData::exchangeCPUOnly 237.26659  5.1% 86400 0    0.0 MFlops 
                                    [37] DistributedData::exchange 233.18293  5.0% 86400 0    0.0 MFlops 
                                       [38] DistributedData::communicate 223.26385  4.8% 86400 0    0.0 MFlops 
                                          [39] DistributedData::doLocalCopies 223.24910  4.8% 86400 0    0.0 MFlops 
                                             [40] DistributedData::doLocalCopiesWithCopy 223.23393  4.8% 86400 0    0.0 MFlops 
                                                [42] HostBoxData::copy 218.66349  4.7% 7257600 0    0.0 MFlops 
                                                [948] HostIrregData::copy 1.89599  0.0% 7257600 0    0.0 MFlops 
                                       [446] BoxPattern::exchange constructor 9.68011  0.2% 86400 0    0.0 MFlops 
                                       [3588] CommunicationMetaData constructor 0.00382  0.0% 86400 0    0.0 MFlops 
                                    [747] DistributedData constructor 3.48863  0.1% 86400 0    0.0 MFlops 
                              [47] EBStencil::apply 162.91653  3.5% 1382400 103464086400  635.1 MFlops 
                                 [48] EBStencil::applyITZ 162.61025  3.5% 1382400 103464086400  636.3 MFlops 
                                    [49] AggSten::apply 161.90299  3.5% 1382400 103464086400  639.0 MFlops 
                              [101] ebforall_i 78.76995  1.7% 1382400 0    0.0 MFlops 
                                 [102] protoForall_i 78.12013  1.7% 1382400 0    0.0 MFlops 
                                    [104] BoxData::makevars_i 76.12873  1.6% 1382400 0    0.0 MFlops 
                                       [108] indexer_i 75.59618  1.6% 1382400 0    0.0 MFlops 
                           [27] BoxData::setVal 319.74395  6.8% 1382400 2211840000    6.9 MFlops 
                              [28] BoxData::operator 319.49876  6.8% 1382400 2211840000    6.9 MFlops 
                                 [1387] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.62697  0.0% 1382400 0    0.0 MFlops 
                           [157] ebforall 42.40765  0.9% 1382400 0    0.0 MFlops 
                              [158] forallInPlaceBase 41.95847  0.9% 1382400 0    0.0 MFlops 
                                 [159] protoForall 41.71210  0.9% 1382400 0    0.0 MFlops 
                                    [163] BoxData::makevars 40.47125  0.9% 1382400 0    0.0 MFlops 
                                       [164] indexer 40.22450  0.9% 1382400 0    0.0 MFlops 
                        [25] BoxData::setVal 320.66265  6.9% 1382400 2211840000    6.9 MFlops 
                           [26] BoxData::operator 320.41396  6.8% 1382400 2211840000    6.9 MFlops 
                              [1372] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.65373  0.0% 1382400 0    0.0 MFlops 
                        [74] ebforall_i 112.13056  2.4% 1382400 0    0.0 MFlops 
                           [75] protoForall_i 111.42277  2.4% 1382400 0    0.0 MFlops 
                              [76] BoxData::makevars_i 109.03381  2.3% 1382400 0    0.0 MFlops 
                                 [77] indexer_i 108.56896  2.3% 1382400 0    0.0 MFlops 
                     [8] sgmglevel::vcycle 1154.57327 24.7% 5400 39773991600   34.4 MFlops 
                        [21] sgmglevel::vcycle 591.53485 12.6% 5400 10369911600   17.5 MFlops 
                           [29] sgmglevel::vcycle 311.46176  6.7% 5400 2857928400    9.2 MFlops 
                              [54] EBPoissonOp::relax 155.81535  3.3% 10800 1813104000   11.6 MFlops 
                                 [73] EBPoissonOp::residual 114.00394  2.4% 86400 1614038400   14.2 MFlops 
                                    [103] EBMultigrid::applyOp 77.32963  1.7% 86400 1414972800   18.3 MFlops 
                                       [112] EBLevelBoxData::exchange 63.59056  1.4% 86400 0    0.0 MFlops 
                                          [113] EBLevelBoxData::exchangeCPUOnly 63.57309  1.4% 86400 0    0.0 MFlops 
                                             [119] DistributedData::exchange 60.49473  1.3% 86400 0    0.0 MFlops 
                                                [143] DistributedData::communicate 51.66084  1.1% 86400 0    0.0 MFlops 
                                                   [144] DistributedData::doLocalCopies 51.64744  1.1% 86400 0    0.0 MFlops 
                                                      [145] DistributedData::doLocalCopiesWithCopy 51.63432  1.1% 86400 0    0.0 MFlops 
                                                         [146] HostBoxData::copy 46.73001  1.0% 7257600 0    0.0 MFlops 
                                                         [881] HostIrregData::copy 2.25389  0.0% 7257600 0    0.0 MFlops 
                                                [462] BoxPattern::exchange constructor 8.62197  0.2% 86400 0    0.0 MFlops 
                                                [3609] CommunicationMetaData constructor 0.00353  0.0% 86400 0    0.0 MFlops 
                                             [823] DistributedData constructor 2.61457  0.1% 86400 0    0.0 MFlops 
                                       [530] ebforall_i 7.14067  0.2% 1382400 0    0.0 MFlops 
                                          [574] protoForall_i 6.60256  0.1% 1382400 0    0.0 MFlops 
                                             [642] BoxData::makevars_i 4.81884  0.1% 1382400 0    0.0 MFlops 
                                                [675] indexer_i 4.37330  0.1% 1382400 0    0.0 MFlops 
                                       [724] EBStencil::apply 3.80343  0.1% 1382400 1414972800  372.0 MFlops 
                                          [742] EBStencil::applyITZ 3.56031  0.1% 1382400 1414972800  397.4 MFlops 
                                             [775] AggSten::apply 3.09272  0.1% 1382400 1414972800  457.5 MFlops 
                                    [198] BoxData::setVal 30.72796  0.7% 1382400 199065600    6.5 MFlops 
                                       [200] BoxData::operator 30.49792  0.7% 1382400 199065600    6.5 MFlops 
                                          [1395] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.61867  0.0% 1382400 0    0.0 MFlops 
                                    [644] ebforall 4.74409  0.1% 1382400 0    0.0 MFlops 
                                       [677] forallInPlaceBase 4.34754  0.1% 1382400 0    0.0 MFlops 
                                          [699] protoForall 4.10580  0.1% 1382400 0    0.0 MFlops 
                                             [791] BoxData::makevars 2.89055  0.1% 1382400 0    0.0 MFlops 
                                                [819] indexer 2.65709  0.1% 1382400 0    0.0 MFlops 
                                 [197] BoxData::setVal 30.77365  0.7% 1382400 199065600    6.5 MFlops 
                                    [199] BoxData::operator 30.54386  0.7% 1382400 199065600    6.5 MFlops 
                                       [1381] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.63748  0.0% 1382400 0    0.0 MFlops 
                                 [453] ebforall_i 9.32225  0.2% 1382400 0    0.0 MFlops 
                                    [459] protoForall_i 8.70326  0.2% 1382400 0    0.0 MFlops 
                                       [581] BoxData::makevars_i 6.34321  0.1% 1382400 0    0.0 MFlops 
                                          [594] indexer_i 5.89446  0.1% 1382400 0    0.0 MFlops 
                              [59] sgmglevel::vcycle 135.03185  2.9% 5400 806479200    6.0 MFlops 
                                 [78] EBPoissonOp::relax 96.74605  2.1% 10800 576115200    6.0 MFlops 
                                    [110] EBPoissonOp::residual 66.75563  1.4% 86400 437875200    6.6 MFlops 
                                       [170] EBMultigrid::applyOp 39.99480  0.9% 86400 299635200    7.5 MFlops 
                                          [201] EBLevelBoxData::exchange 30.19380  0.6% 86400 0    0.0 MFlops 
                                             [203] EBLevelBoxData::exchangeCPUOnly 30.17852  0.6% 86400 0    0.0 MFlops 
                                                [222] DistributedData::exchange 27.48022  0.6% 86400 0    0.0 MFlops 
                                                   [289] DistributedData::communicate 18.67742  0.4% 86400 0    0.0 MFlops 
                                                      [290] DistributedData::doLocalCopies 18.66363  0.4% 86400 0    0.0 MFlops 
                                                         [291] DistributedData::doLocalCopiesWithCopy 18.65101  0.4% 86400 0    0.0 MFlops 
                                                   [464] BoxPattern::exchange constructor 8.59426  0.2% 86400 0    0.0 MFlops 
                                                   [3606] CommunicationMetaData constructor 0.00355  0.0% 86400 0    0.0 MFlops 
                                                [878] DistributedData constructor 2.28407  0.0% 86400 0    0.0 MFlops 
                                          [631] ebforall_i 5.05324  0.1% 1382400 0    0.0 MFlops 
                                             [660] protoForall_i 4.57492  0.1% 1382400 0    0.0 MFlops 
                                                [800] BoxData::makevars_i 2.79700  0.1% 1382400 0    0.0 MFlops 
                                                   [872] indexer_i 2.35447  0.1% 1382400 0    0.0 MFlops 
                                          [926] EBStencil::apply 1.95912  0.0% 1382400 299635200  152.9 MFlops 
                                             [976] EBStencil::applyITZ 1.71516  0.0% 1382400 299635200  174.7 MFlops 
                                                [1098] AggSten::apply 1.26890  0.0% 1382400 299635200  236.1 MFlops 
                                       [250] BoxData::setVal 21.98381  0.5% 1382400 138240000    6.3 MFlops 
                                          [252] BoxData::operator 21.75430  0.5% 1382400 138240000    6.4 MFlops 
                                             [1397] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.61662  0.0% 1382400 0    0.0 MFlops 
