-----------
Timer report 0 (4883 timers)
--------------
[0] root 5781.94140 100.0% 1 232087953126   40.1 MFlops 
   [1] EBINS::run 5763.85316 99.7% 1 232086570726   40.3 MFlops 
      [2] EBINS::advanceVelocityAndPressure 5504.98677 95.2% 100 226459626600   41.1 MFlops 
         [3] EBINS::advanceVelocityNavierStokes 2804.11109 48.5% 100 163931974800   58.5 MFlops 
            [4] EBMultigrid::solve 2803.74207 48.5% 200 163915590800   58.5 MFlops 
               [5] sgmg::vcycle 2602.98209 45.0% 5400 156789745200   60.2 MFlops 
                  [6] sgmglevel::vcycle 2602.97992 45.0% 5400 156789745200   60.2 MFlops 
                     [14] EBPoissonOp::relax 1283.41384 22.2% 10800 107887766400   84.1 MFlops 
                        [20] EBPoissonOp::residual 848.36775 14.7% 86400 105675926400  124.6 MFlops 
                           [27] EBMultigrid::applyOp 483.02685  8.4% 86400 103464086400  214.2 MFlops 
                              [40] EBLevelBoxData::exchange 239.30525  4.1% 86400 0    0.0 MFlops 
                                 [41] EBLevelBoxData::exchangeCPUOnly 239.28720  4.1% 86400 0    0.0 MFlops 
                                    [43] DistributedData::exchange 235.20588  4.1% 86400 0    0.0 MFlops 
                                       [44] DistributedData::communicate 225.14118  3.9% 86400 0    0.0 MFlops 
                                          [45] DistributedData::doLocalCopies 225.12636  3.9% 86400 0    0.0 MFlops 
                                             [46] DistributedData::doLocalCopiesWithCopy 225.11188  3.9% 86400 0    0.0 MFlops 
                                                [48] HostBoxData::copy 220.33498  3.8% 7257600 0    0.0 MFlops 
                                                [986] HostIrregData::copy 1.92802  0.0% 7257600 0    0.0 MFlops 
                                       [486] BoxPattern::exchange constructor 9.82851  0.2% 86400 0    0.0 MFlops 
                                       [3602] CommunicationMetaData constructor 0.00374  0.0% 86400 0    0.0 MFlops 
                                    [788] DistributedData constructor 3.49474  0.1% 86400 0    0.0 MFlops 
                              [53] EBStencil::apply 161.31312  2.8% 1382400 103464086400  641.4 MFlops 
                                 [56] EBStencil::applyITZ 161.00757  2.8% 1382400 103464086400  642.6 MFlops 
                                    [64] AggSten::apply 160.36026  2.8% 1382400 103464086400  645.2 MFlops 
                              [122] ebforall_i 78.36002  1.4% 1382400 0    0.0 MFlops 
                                 [125] protoForall_i 77.68901  1.3% 1382400 0    0.0 MFlops 
                                    [129] BoxData::makevars_i 75.64104  1.3% 1382400 0    0.0 MFlops 
                                       [130] indexer_i 75.11231  1.3% 1382400 0    0.0 MFlops 
                           [33] BoxData::setVal 321.25443  5.6% 1382400 2211840000    6.9 MFlops 
                              [34] BoxData::operator 321.00511  5.6% 1382400 2211840000    6.9 MFlops 
                                 [1451] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.62559  0.0% 1382400 0    0.0 MFlops 
                           [203] ebforall 42.72720  0.7% 1382400 0    0.0 MFlops 
                              [204] forallInPlaceBase 42.27787  0.7% 1382400 0    0.0 MFlops 
                                 [205] protoForall 42.02570  0.7% 1382400 0    0.0 MFlops 
                                    [208] BoxData::makevars 40.73547  0.7% 1382400 0    0.0 MFlops 
                                       [211] indexer 40.48441  0.7% 1382400 0    0.0 MFlops 
                        [31] BoxData::setVal 321.54797  5.6% 1382400 2211840000    6.9 MFlops 
                           [32] BoxData::operator 321.30076  5.6% 1382400 2211840000    6.9 MFlops 
                              [1439] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.64989  0.0% 1382400 0    0.0 MFlops 
                        [102] ebforall_i 111.66290  1.9% 1382400 0    0.0 MFlops 
                           [103] protoForall_i 110.93763  1.9% 1382400 0    0.0 MFlops 
                              [106] BoxData::makevars_i 108.49683  1.9% 1382400 0    0.0 MFlops 
                                 [107] indexer_i 108.02557  1.9% 1382400 0    0.0 MFlops 
                     [19] sgmglevel::vcycle 1161.09125 20.1% 5400 39773991600   34.3 MFlops 
                        [21] sgmglevel::vcycle 595.62641 10.3% 5400 10369911600   17.4 MFlops 
                           [35] sgmglevel::vcycle 314.25156  5.4% 5400 2857928400    9.1 MFlops 
                              [66] EBPoissonOp::relax 157.14678  2.7% 10800 1813104000   11.5 MFlops 
                                 [95] EBPoissonOp::residual 115.28852  2.0% 86400 1614038400   14.0 MFlops 
                                    [121] EBMultigrid::applyOp 78.40455  1.4% 86400 1414972800   18.0 MFlops 
                                       [140] EBLevelBoxData::exchange 64.51630  1.1% 86400 0    0.0 MFlops 
                                          [141] EBLevelBoxData::exchangeCPUOnly 64.49898  1.1% 86400 0    0.0 MFlops 
                                             [151] DistributedData::exchange 61.40911  1.1% 86400 0    0.0 MFlops 
                                                [185] DistributedData::communicate 52.43660  0.9% 86400 0    0.0 MFlops 
                                                   [186] DistributedData::doLocalCopies 52.42313  0.9% 86400 0    0.0 MFlops 
                                                      [187] DistributedData::doLocalCopiesWithCopy 52.41004  0.9% 86400 0    0.0 MFlops 
                                                         [190] HostBoxData::copy 47.32851  0.8% 7257600 0    0.0 MFlops 
                                                         [932] HostIrregData::copy 2.25418  0.0% 7257600 0    0.0 MFlops 
                                                [499] BoxPattern::exchange constructor 8.75785  0.2% 86400 0    0.0 MFlops 
                                                [3605] CommunicationMetaData constructor 0.00371  0.0% 86400 0    0.0 MFlops 
                                             [873] DistributedData constructor 2.62510  0.0% 86400 0    0.0 MFlops 
                                       [554] ebforall_i 7.32452  0.1% 1382400 0    0.0 MFlops 
                                          [602] protoForall_i 6.76115  0.1% 1382400 0    0.0 MFlops 
                                             [683] BoxData::makevars_i 4.88773  0.1% 1382400 0    0.0 MFlops 
                                                [722] indexer_i 4.42199  0.1% 1382400 0    0.0 MFlops 
                                       [769] EBStencil::apply 3.75977  0.1% 1382400 1414972800  376.3 MFlops 
                                          [787] EBStencil::applyITZ 3.51752  0.1% 1382400 1414972800  402.3 MFlops 
                                             [817] AggSten::apply 3.03801  0.1% 1382400 1414972800  465.8 MFlops 
                                    [256] BoxData::setVal 30.72377  0.5% 1382400 199065600    6.5 MFlops 
                                       [264] BoxData::operator 30.48790  0.5% 1382400 199065600    6.5 MFlops 
                                          [1458] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.61967  0.0% 1382400 0    0.0 MFlops 
                                    [684] ebforall 4.88743  0.1% 1382400 0    0.0 MFlops 
                                       [712] forallInPlaceBase 4.47204  0.1% 1382400 0    0.0 MFlops 
                                          [742] protoForall 4.22050  0.1% 1382400 0    0.0 MFlops 
                                             [824] BoxData::makevars 2.93877  0.1% 1382400 0    0.0 MFlops 
                                                [860] indexer 2.69560  0.0% 1382400 0    0.0 MFlops 
                                 [255] BoxData::setVal 30.73308  0.5% 1382400 199065600    6.5 MFlops 
                                    [263] BoxData::operator 30.49625  0.5% 1382400 199065600    6.5 MFlops 
                                       [1445] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.63794  0.0% 1382400 0    0.0 MFlops 
                                 [497] ebforall_i 9.36389  0.2% 1382400 0    0.0 MFlops 
                                    [500] protoForall_i 8.73053  0.2% 1382400 0    0.0 MFlops 
                                       [629] BoxData::makevars_i 6.31039  0.1% 1382400 0    0.0 MFlops 
                                          [643] indexer_i 5.85194  0.1% 1382400 0    0.0 MFlops 
                              [75] sgmglevel::vcycle 136.45873  2.4% 5400 806479200    5.9 MFlops 
                                 [108] EBPoissonOp::relax 97.74654  1.7% 10800 576115200    5.9 MFlops 
                                    [138] EBPoissonOp::residual 67.57393  1.2% 86400 437875200    6.5 MFlops 
                                       [209] EBMultigrid::applyOp 40.64762  0.7% 86400 299635200    7.4 MFlops 
                                          [258] EBLevelBoxData::exchange 30.67942  0.5% 86400 0    0.0 MFlops 
                                             [260] EBLevelBoxData::exchangeCPUOnly 30.66275  0.5% 86400 0    0.0 MFlops 
                                                [268] DistributedData::exchange 27.95981  0.5% 86400 0    0.0 MFlops 
                                                   [337] DistributedData::communicate 19.03443  0.3% 86400 0    0.0 MFlops 
                                                      [338] DistributedData::doLocalCopies 19.02054  0.3% 86400 0    0.0 MFlops 
                                                         [339] DistributedData::doLocalCopiesWithCopy 19.00761  0.3% 86400 0    0.0 MFlops 
                                                   [501] BoxPattern::exchange constructor 8.71907  0.2% 86400 0    0.0 MFlops 
                                                   [3612] CommunicationMetaData constructor 0.00366  0.0% 86400 0    0.0 MFlops 
                                                [927] DistributedData constructor 2.29367  0.0% 86400 0    0.0 MFlops 
                                          [666] ebforall_i 5.19627  0.1% 1382400 0    0.0 MFlops 
                                             [702] protoForall_i 4.69513  0.1% 1382400 0    0.0 MFlops 
                                                [839] BoxData::makevars_i 2.83297  0.0% 1382400 0    0.0 MFlops 
                                                   [917] indexer_i 2.37145  0.0% 1382400 0    0.0 MFlops 
                                          [978] EBStencil::apply 1.97405  0.0% 1382400 299635200  151.8 MFlops 
                                             [1025] EBStencil::applyITZ 1.72917  0.0% 1382400 299635200  173.3 MFlops 
                                                [1148] AggSten::apply 1.26877  0.0% 1382400 299635200  236.2 MFlops 
                                       [300] BoxData::setVal 21.95536  0.4% 1382400 138240000    6.3 MFlops 
                                          [302] BoxData::operator 21.71968  0.4% 1382400 138240000    6.4 MFlops 
                                             [1459] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.61843  0.0% 1382400 0    0.0 MFlops 
                                       [771] ebforall 3.72600  0.1% 1382400 0    0.0 MFlops 
                                          [801] forallInPlaceBase 3.33818  0.1% 1382400 0    0.0 MFlops 
                                             [816] protoForall 3.08685  0.1% 1382400 0    0.0 MFlops 
                                                [1015] BoxData::makevars 1.81357  0.0% 1382400 0    0.0 MFlops 
                                                   [1069] indexer 1.57300  0.0% 1382400 0    0.0 MFlops 
                                    [299] BoxData::setVal 22.01484  0.4% 1382400 138240000    6.3 MFlops 
                                       [301] BoxData::operator 21.78020  0.4% 1382400 138240000    6.3 MFlops 
                                          [1448] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.63114  0.0% 1382400 0    0.0 MFlops 
                                    [626] ebforall_i 6.42886  0.1% 1382400 0    0.0 MFlops 
                                       [642] protoForall_i 5.86215  0.1% 1382400 0    0.0 MFlops 
                                          [789] BoxData::makevars_i 3.44637  0.1% 1382400 0    0.0 MFlops 
                                             [819] indexer_i 2.99243  0.1% 1382400 0    0.0 MFlops 
                                 [249] sgmglevel::vcycle 31.49505  0.5% 5400 185198400    5.9 MFlops 
                                    [296] sgmglevel::vcycle 23.55617  0.4% 5400 96962400    4.1 MFlops 
                                       [341] EBRelaxSolver::solve 18.17139  0.3% 5400 75535200    4.2 MFlops 
                                          [353] EBMultigrid::preCond 17.32304  0.3% 5400 72316800    4.2 MFlops 
                                             [354] EBPoissonOp::relax 17.32206  0.3% 5400 72316800    4.2 MFlops 
                                                [459] EBPoissonOp::residual 10.58148  0.2% 291600 43156800    4.1 MFlops 
                                                   [701] BoxData::setVal 4.70093  0.1% 291600 29160000    6.2 MFlops 
                                                      [706] BoxData::operator 4.64987  0.1% 291600 29160000    6.3 MFlops 
                                                         [2325] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.13461  0.0% 291600 0    0.0 MFlops 
                                                   [717] EBMultigrid::applyOp 4.46112  0.1% 291600 13996800    3.1 MFlops 
                                                      [951] EBLevelBoxData::exchange 2.20779  0.0% 291600 0    0.0 MFlops 
                                                         [955] EBLevelBoxData::exchangeCPUOnly 2.16520  0.0% 291600 0    0.0 MFlops 
                                                      [1188] ebforall_i 1.12651  0.0% 291600 0    0.0 MFlops 
                                                         [1225] protoForall_i 1.00859  0.0% 291600 0    0.0 MFlops 
                                                      [1784] EBStencil::apply 0.34319  0.0% 291600 13996800   40.8 MFlops 
                                                         [1875] EBStencil::applyITZ 0.29888  0.0% 291600 13996800   46.8 MFlops 
                                                   [1329] ebforall 0.81594  0.0% 291600 0    0.0 MFlops 
                                                      [1401] forallInPlaceBase 0.71603  0.0% 291600 0    0.0 MFlops 
                                                         [1434] protoForall 0.66382  0.0% 291600 0    0.0 MFlops 
                                                [699] BoxData::setVal 4.72349  0.1% 291600 29160000    6.2 MFlops 
                                                   [705] BoxData::operator 4.67110  0.1% 291600 29160000    6.2 MFlops 
                                                      [2307] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.13920  0.0% 291600 0    0.0 MFlops 
                                                [1106] ebforall_i 1.39292  0.0% 291600 0    0.0 MFlops 
                                                   [1159] protoForall_i 1.24213  0.0% 291600 0    0.0 MFlops 
                                                      [1399] BoxData::makevars_i 0.73107  0.0% 291600 0    0.0 MFlops 
                                                         [1447] indexer_i 0.63246  0.0% 291600 0    0.0 MFlops 
                                          [1719] EBPoissonOp::residual 0.39657  0.0% 10800 1598400    4.0 MFlops 
                                             [2170] BoxData::setVal 0.17403  0.0% 10800 1080000    6.2 MFlops 
                                                [2175] BoxData::operator 0.17211  0.0% 10800 1080000    6.3 MFlops 
                                                   [3517] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00509  0.0% 10800 0    0.0 MFlops 
                                             [2189] EBMultigrid::applyOp 0.16904  0.0% 10800 518400    3.1 MFlops 
                                                [2529] EBLevelBoxData::exchange 0.08389  0.0% 10800 0    0.0 MFlops 
                                                   [2534] EBLevelBoxData::exchangeCPUOnly 0.08226  0.0% 10800 0    0.0 MFlops 
                                                      [2848] DistributedData constructor 0.03672  0.0% 10800 0    0.0 MFlops 
                                                      [2958] DistributedData::exchange 0.02519  0.0% 10800 0    0.0 MFlops 
                                                         [3212] BoxPattern::exchange constructor 0.01192  0.0% 10800 0    0.0 MFlops 
                                                         [3598] DistributedData::communicate 0.00379  0.0% 10800 0    0.0 MFlops 
                                                         [4105] CommunicationMetaData constructor 0.00047  0.0% 10800 0    0.0 MFlops 
                                                [2801] ebforall_i 0.04228  0.0% 10800 0    0.0 MFlops 
                                                   [2837] protoForall_i 0.03760  0.0% 10800 0    0.0 MFlops 
                                                      [2996] BoxData::makevars_i 0.02262  0.0% 10800 0    0.0 MFlops 
