-----------
Timer report 0 (4410 timers)
--------------
[0] root 4296.69593 100.0% 1 147010383480   34.2 MFlops 
   [1] EBINS::run 4292.78935 99.9% 1 147010037880   34.2 MFlops 
      [2] EBINS::advanceVelocityAndPressure 4225.19539 98.3% 100 145154135200   34.4 MFlops 
         [3] BCGAdvect::hybridDivergence 1818.82289 42.3% 100 52682598000   29.0 MFlops 
            [4] BCGAdvect::getMACVectorVelocity 1817.42357 42.3% 100 52638024000   29.0 MFlops 
               [7] EBMACProjector::project 1811.59477 42.2% 100 52392570800   28.9 MFlops 
                  [8] EBMultigrid::solve 1810.82148 42.1% 100 52369175600   28.9 MFlops 
                     [10] sgmg::vcycle 1789.17062 41.6% 2700 52047835200   29.1 MFlops 
                        [11] sgmglevel::vcycle 1789.16977 41.6% 2700 52047835200   29.1 MFlops 
                           [14] EBPoissonOp::relax 978.21187 22.8% 5400 37529740800   38.4 MFlops 
                              [20] EBPoissonOp::residual 591.68366 13.8% 345600 35317900800   59.7 MFlops 
                                 [32] BoxData::setVal 283.86105  6.6% 1382400 2211840000    7.8 MFlops 
                                    [33] BoxData::operator 283.64398  6.6% 1382400 2211840000    7.8 MFlops 
                                       [1021] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.56910  0.0% 1382400 0    0.0 MFlops 
                                 [36] EBMultigrid::applyOp 268.35112  6.2% 345600 33106060800  123.4 MFlops 
                                    [47] EBLevelBoxData::exchange 139.53434  3.2% 345600 0    0.0 MFlops 
                                       [48] EBLevelBoxData::exchangeCPUOnly 139.47059  3.2% 345600 0    0.0 MFlops 
                                          [51] DistributedData::exchange 133.98515  3.1% 345600 0    0.0 MFlops 
                                             [54] DistributedData::communicate 128.91970  3.0% 345600 0    0.0 MFlops 
                                                [56] DistributedData::doLocalCopies 128.84758  3.0% 345600 0    0.0 MFlops 
                                                   [58] DistributedData::doLocalCopiesWithCopy 128.79382  3.0% 345600 0    0.0 MFlops 
                                                      [60] HostBoxData::copy 126.09785  2.9% 4147200 0    0.0 MFlops 
                                                      [735] HostIrregData::copy 1.25084  0.0% 4147200 0    0.0 MFlops 
                                             [447] BoxPattern::exchange constructor 4.60281  0.1% 345600 0    0.0 MFlops 
                                             [2684] CommunicationMetaData constructor 0.01351  0.0% 345600 0    0.0 MFlops 
                                          [467] DistributedData constructor 4.39476  0.1% 345600 0    0.0 MFlops 
                                    [104] ebforall_i 70.56205  1.6% 1382400 0    0.0 MFlops 
                                       [112] protoForall_i 69.83169  1.6% 1382400 0    0.0 MFlops 
                                          [114] BoxData::makevars_i 68.17108  1.6% 1382400 0    0.0 MFlops 
                                             [117] indexer_i 67.73470  1.6% 1382400 0    0.0 MFlops 
                                    [122] EBStencil::apply 55.14847  1.3% 1382400 33106060800  600.3 MFlops 
                                       [124] EBStencil::applyITZ 54.89299  1.3% 1382400 33106060800  603.1 MFlops 
